player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
,Preetam Chhillar,,,Preetam Chhillar,Preetam Chhillar,,Preetam Chhillar,Preetam Chhillar,Preetam Chhillar,,,11.0,,,11.0,11.0,,11,11.0,11.0,,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,BLR,,,BLR,BLR,,BLR,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,57.0,,,41.0,54.0,,65,38.0,56.0,,,5.0,,,9.0,0.82,,14,9.0,3.0,,,0.4545454545454545,,,0.8181818181818182,0.0745454545454545,,1.2727272727272727,0.8181818181818182,0.2727272727272727,,,1.0,,,1.0,1.0,,1,1.0,1.0,,,0.0,,,0.0,0.0,,0,0.0,0.0,
,Vinoth Kumar,,,,,Vinoth Kumar,Vinoth Kumar,,Vinoth Kumar,,,7.0,,,,,7.0,7,,7.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,BLR,,,,,BLR,BLR,,BLR,,,Bengaluru Bulls,,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,34.0,,,,,20.0,61,,34.0,,,16.0,,,,,10.0,16,,13.0,,,2.2857142857142856,,,,,1.4285714285714286,2.2857142857142856,,1.8571428571428572,,,1.0,,,,,1.0,1,,1.0,,,8.0,,,,,8.0,8,,8.0,
,Suresu Kumar,,,,,Suresu Kumar,Suresu Kumar,,Suresu Kumar,,,3.0,,,,,3.0,3,,3.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,MUM,,,,,MUM,MUM,,MUM,,,U Mumba,,,,,U Mumba,U Mumba,,U Mumba,,,65.0,,,,,57.0,108,,61.0,,,2.0,,,,,1.0,2,,2.0,,,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,0.6666666666666666,,,5.0,,,,,5.0,5,,5.0,,,8.0,,,,,8.0,8,,8.0,
,Deepak Kumar Dahiya,Deepak Kumar Dahiya,,,,Deepak Kumar Dahiya,Deepak Kumar Dahiya,,Deepak Kumar Dahiya,,,10.0,10.0,,,,10.0,10,,10.0,,,Raider,Raider,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,BLR,BLR,,,,BLR,BLR,,BLR,,,Bengaluru Bulls,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,21.0,4.0,,,,6.0,29,,22.0,,,37.0,3.0,,,,20.0,37,,29.0,,,3.7,0.3,,,,2.0,3.7,,2.9,,,1.0,1.0,,,,1.0,1,,1.0,,,8.0,8.0,,,,8.0,8,,8.0,
,,,,Vikas Kale,Vikas Kale,,Vikas Kale,Vikas Kale,,,,,,,9.0,9.0,,9,9.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,,,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,,,,,34.0,33.0,,70,30.0,,,,,,,12.0,1.33,,12,12.0,,,,,,,1.3333333333333333,0.1477777777777777,,1.3333333333333333,1.3333333333333333,,,,,,,8.0,8.0,,8,8.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Deepak Dhull,Deepak Dhull,,Deepak Dhull,Deepak Dhull,,,,,,,1.0,1.0,,1,1.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,,,,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,,,,86.0,42.0,,109,90.0,,,,,,,1.0,1.0,,1,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,4.0,4.0,,4,4.0,,,,,,,9.0,9.0,,9,9.0,,
Deepak Kumar,,,,Deepak Kumar,Deepak Kumar,,Deepak Kumar,Deepak Kumar,,,3.0,,,,3.0,3.0,,3,3.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,KOL,,,,KOL,KOL,,KOL,KOL,,,Bengal Warriors,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,35.0,,,,61.0,34.0,,94,64.0,,,1.0,,,,4.0,1.33,,4,3.0,,,0.3333333333333333,,,,1.3333333333333333,0.4433333333333333,,1.3333333333333333,1.0,,,4.0,,,,4.0,4.0,,4,4.0,,,9.0,,,,9.0,9.0,,9,9.0,,
,,,,Vijin Thangadurai,Vijin Thangadurai,,Vijin Thangadurai,Vijin Thangadurai,,,,,,,4.0,4.0,,4,4.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,,,,,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,,,,78.0,70.0,,107,73.0,,,,,,,2.0,0.5,,2,2.0,,,,,,,0.5,0.125,,0.5,0.5,,,,,,,4.0,4.0,,4,4.0,,,,,,,9.0,9.0,,9,9.0,,
,Sonu Narwal,Sonu Narwal,,,,Sonu Narwal,Sonu Narwal,,Sonu Narwal,,,11.0,11.0,,,,11.0,11,,11.0,,,Raider,Raider,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,JAI,JAI,,,,JAI,JAI,,JAI,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,13.0,13.0,,,,28.0,17,,12.0,,,55.0,2.0,,,,7.0,55,,49.0,,,5.0,0.1818181818181818,,,,0.6363636363636364,5.0,,4.454545454545454,,,3.0,3.0,,,,3.0,3,,3.0,,,8.0,8.0,,,,8.0,8,,8.0,
C. Arun,C. Arun,,C. Arun,C. Arun,C. Arun,,C. Arun,C. Arun,C. Arun,,11.0,11.0,,11.0,11.0,11.0,,11,11.0,11.0,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,4.0,76.0,,18.0,24.0,24.0,,56,31.0,73.0,,5.0,1.0,,1.0,17.0,1.55,,18,12.0,1.0,,0.4545454545454545,0.0909090909090909,,0.0909090909090909,1.5454545454545454,0.1409090909090909,,1.6363636363636365,1.0909090909090908,0.0909090909090909,,3.0,3.0,,3.0,3.0,3.0,,3,3.0,3.0,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,9.0,
,,,,Rohit Kumar Prajapat,Rohit Kumar Prajapat,,Rohit Kumar Prajapat,Rohit Kumar Prajapat,,,,,,,3.0,3.0,,3,3.0,,,,,,,Raider,Raider,,Raider,Raider,,,,,,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,,,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,,,85.0,78.0,,110,88.0,,,,,,,1.0,0.33,,1,1.0,,,,,,,0.3333333333333333,0.11,,0.3333333333333333,0.3333333333333333,,,,,,,3.0,3.0,,3,3.0,,,,,,,8.0,8.0,,8,8.0,,
,Pardeep Narwal,Pardeep Narwal,,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,Pardeep Narwal,,16.0,16.0,,16.0,16.0,16.0,16,16.0,16.0,16.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,1.0,1.0,,51.0,80.0,7.0,1,49.0,2.0,2.0,,116.0,10.0,,5.0,0.31,20.0,121,5.0,83.0,5.0,,7.25,0.625,,0.3125,0.019375,1.25,7.5625,0.3125,5.1875,0.3125,,6.0,6.0,,6.0,6.0,6.0,6,6.0,6.0,6.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,Mohammad Maghshoudulu,,,Mohammad Maghshoudulu,Mohammad Maghshoudulu,Mohammad Maghshoudulu,Mohammad Maghshoudulu,Mohammad Maghshoudulu,Mohammad Maghshoudulu,,,10.0,,,10.0,10.0,10.0,10,10.0,10.0,,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,JAI,,,JAI,JAI,JAI,JAI,JAI,JAI,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,,38.0,,,84.0,96.0,24.0,64,87.0,41.0,,,13.0,,,1.0,0.1,9.0,14,1.0,8.0,,,1.3,,,0.1,0.01,0.9,1.4,0.1,0.8,,,3.0,,,3.0,3.0,3.0,3,3.0,3.0,,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,
Ashish Kumar,Ashish Kumar,,Ashish Kumar,Ashish Kumar,Ashish Kumar,,Ashish Kumar,Ashish Kumar,Ashish Kumar,,13.0,13.0,,13.0,13.0,13.0,,13,13.0,13.0,,Defender,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,BLR,BLR,,BLR,BLR,BLR,,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,36.0,49.0,,19.0,14.0,17.0,,37,14.0,49.0,,1.0,7.0,,1.0,26.0,2.0,,33,25.0,5.0,,0.0769230769230769,0.5384615384615384,,0.0769230769230769,2.0,0.1538461538461538,,2.5384615384615383,1.9230769230769231,0.3846153846153846,,1.0,1.0,,1.0,1.0,1.0,,1,1.0,1.0,,9.0,9.0,,9.0,9.0,9.0,,9,9.0,9.0,
Sunil,Sunil,,Sunil,Sunil,Sunil,Sunil,Sunil,Sunil,Sunil,,15.0,15.0,,15.0,15.0,15.0,15.0,15,15.0,15.0,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,37.0,77.0,,20.0,13.0,19.0,58.0,42,12.0,74.0,,1.0,1.0,,1.0,29.0,1.93,1.0,30,28.0,1.0,,0.0666666666666666,0.0666666666666666,,0.0666666666666666,1.9333333333333331,0.1286666666666666,0.0666666666666666,2.0,1.8666666666666667,0.0666666666666666,,6.0,6.0,,6.0,6.0,6.0,6.0,6,6.0,6.0,,9.0,9.0,,9.0,9.0,9.0,9.0,9,9.0,9.0,
Deepak Narwal,Deepak Narwal,,,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,9.0,9.0,,,9.0,9.0,9.0,9,9.0,9.0,9.0,Raider,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,PAT,PAT,,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,38.0,24.0,,,79.0,91.0,27.0,38,89.0,25.0,11.0,1.0,31.0,,,2.0,0.22,8.0,33,1.0,21.0,1.0,0.1111111111111111,3.4444444444444446,,,0.2222222222222222,0.0244444444444444,0.8888888888888888,3.6666666666666665,0.1111111111111111,2.3333333333333335,0.1111111111111111,6.0,6.0,,,6.0,6.0,6.0,6,6.0,6.0,6.0,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,8.0
,,,,Amit Hooda,Amit Hooda,,Amit Hooda,Amit Hooda,,,,,,,4.0,4.0,,4,4.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,,,,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,,,,,35.0,11.0,,73,34.0,,,,,,,11.0,2.75,,11,11.0,,,,,,,2.75,0.6875,,2.75,2.75,,,,,,,6.0,6.0,,6,6.0,,,,,,,9.0,9.0,,9,9.0,,
,,,,Vinod Kumar,Vinod Kumar,,Vinod Kumar,Vinod Kumar,,,,,,,9.0,9.0,,9,9.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,PAT,PAT,,PAT,PAT,,,,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,,,,,28.0,22.0,,59,23.0,,,,,,,16.0,1.78,,16,16.0,,,,,,,1.7777777777777777,0.1977777777777777,,1.7777777777777777,1.7777777777777777,,,,,,,6.0,6.0,,6,6.0,,,,,,,9.0,9.0,,9,9.0,,
,Rohit Kumar Choudary,,,,,Rohit Kumar Choudary,Rohit Kumar Choudary,,Rohit Kumar Choudary,,,7.0,,,,,7.0,7,,7.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,DEL,,,,,DEL,DEL,,DEL,,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,35.0,,,,,36.0,60,,35.0,,,16.0,,,,,5.0,16,,11.0,,,2.2857142857142856,,,,,0.7142857142857143,2.2857142857142856,,1.5714285714285714,,,2.0,,,,,2.0,2,,2.0,,,8.0,,,,,8.0,8,,8.0,
,K. Prapanjan,,,,,K. Prapanjan,K. Prapanjan,,K. Prapanjan,,,4.0,,,,,4.0,4,,4.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,MUM,,,,,MUM,MUM,,MUM,,,U Mumba,,,,,U Mumba,U Mumba,,U Mumba,,,67.0,,,,,53.0,104,,72.0,,,2.0,,,,,1.0,2,,1.0,,,0.5,,,,,0.25,0.5,,0.25,,,5.0,,,,,5.0,5,,5.0,,,8.0,,,,,8.0,8,,8.0,
,,,,G.S. Manikandan,G.S. Manikandan,,G.S. Manikandan,G.S. Manikandan,,,,,,,7.0,7.0,,7,7.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,83.0,93.0,,115,86.0,,,,,,,1.0,0.14,,1,1.0,,,,,,,0.1428571428571428,0.02,,0.1428571428571428,0.1428571428571428,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,Vinoth Paulyas,,,,,Vinoth Paulyas,Vinoth Paulyas,,Vinoth Paulyas,,,3.0,,,,,3.0,3,,3.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,MUM,,,,,MUM,MUM,,MUM,,,U Mumba,,,,,U Mumba,U Mumba,,U Mumba,,,68.0,,,,,48.0,103,,62.0,,,2.0,,,,,2.0,2,,2.0,,,0.6666666666666666,,,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,5.0,,,,,5.0,5,,5.0,,,8.0,,,,,8.0,8,,8.0,
Amit Om Prakash Rathi,Amit Om Prakash Rathi,Amit Om Prakash Rathi,,Amit Om Prakash Rathi,Amit Om Prakash Rathi,Amit Om Prakash Rathi,Amit Om Prakash Rathi,Amit Om Prakash Rathi,Amit Om Prakash Rathi,,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,BLR,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,14.0,25.0,27.0,,50.0,56.0,18.0,32,56.0,24.0,,2.0,30.0,1.0,,6.0,0.75,11.0,36,4.0,21.0,,0.25,3.75,0.125,,0.75,0.09375,1.375,4.5,0.5,2.625,,1.0,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,
,Surender Singh,Surender Singh,,Surender Singh,Surender Singh,Surender Singh,Surender Singh,Surender Singh,Surender Singh,,,12.0,12.0,,12.0,12.0,12.0,12,12.0,12.0,,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,18.0,16.0,,81.0,99.0,13.0,24,84.0,18.0,,,44.0,2.0,,1.0,0.08,12.0,45,1.0,34.0,,,3.6666666666666665,0.1666666666666666,,0.0833333333333333,0.0066666666666666,1.0,3.75,0.0833333333333333,2.8333333333333335,,,7.0,7.0,,7.0,7.0,7.0,7,7.0,7.0,,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,
,,,,T. Prasad,T. Prasad,,T. Prasad,T. Prasad,,,,,,,3.0,3.0,,3,3.0,,,,,,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,,,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,,,,,,82.0,79.0,,116,85.0,,,,,,,1.0,0.33,,1,1.0,,,,,,,0.3333333333333333,0.11,,0.3333333333333333,0.3333333333333333,,,,,,,8.0,8.0,,8,8.0,,,,,,,0.0,0.0,,0,0.0,,
,Isac Antony,,,,,Isac Antony,Isac Antony,,Isac Antony,,,2.0,,,,,2.0,2,,2.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,HYD,,,,,HYD,HYD,,HYD,,,Telugu Titans,,,,,Telugu Titans,Telugu Titans,,Telugu Titans,,,74.0,,,,,54.0,117,,71.0,,,1.0,,,,,1.0,1,,1.0,,,0.5,,,,,0.5,0.5,,0.5,,,8.0,,,,,8.0,8,,8.0,,,8.0,,,,,8.0,8,,8.0,
Ravi Kumar,,,,Ravi Kumar,Ravi Kumar,,Ravi Kumar,Ravi Kumar,,,12.0,,,,12.0,12.0,,12,12.0,,,Defender,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,PUN,,,,PUN,PUN,,PUN,PUN,,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,39.0,,,,40.0,57.0,,78,40.0,,,1.0,,,,9.0,0.75,,9,8.0,,,0.0833333333333333,,,,0.75,0.0625,,0.75,0.6666666666666666,,,7.0,,,,7.0,7.0,,7,7.0,,,9.0,,,,9.0,9.0,,9,9.0,,
,Tushar Patil,Tushar Patil,,,,Tushar Patil,Tushar Patil,,Tushar Patil,,,13.0,13.0,,,,13.0,13,,13.0,,,Raider,Raider,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,PUN,PUN,,,,PUN,PUN,,PUN,,,Puneri Paltan,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,30.0,17.0,,,,12.0,48,,31.0,,,22.0,2.0,,,,14.0,22,,16.0,,,1.6923076923076923,0.1538461538461538,,,,1.0769230769230769,1.6923076923076923,,1.2307692307692308,,,7.0,7.0,,,,7.0,7,,7.0,,,8.0,8.0,,,,8.0,8,,8.0,
,Yogesh Hooda,,,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,,,6.0,,,6.0,6.0,6.0,6,6.0,6.0,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,PUN,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,53.0,,,80.0,77.0,41.0,79,74.0,47.0,,,6.0,,,2.0,0.33,3.0,8,2.0,5.0,,,1.0,,,0.3333333333333333,0.055,0.5,1.3333333333333333,0.3333333333333333,0.8333333333333334,,,7.0,,,7.0,7.0,7.0,7,7.0,7.0,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,
Hadi Oshtorak,,,,Hadi Oshtorak,Hadi Oshtorak,,Hadi Oshtorak,Hadi Oshtorak,,,10.0,,,,10.0,10.0,,10,10.0,,,All Rounder,,,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,PAT,,,,PAT,PAT,,PAT,PAT,,,Patna Pirates,,,,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,,,40.0,,,,22.0,21.0,,53,21.0,,,1.0,,,,18.0,1.8,,18,17.0,,,0.1,,,,1.8,0.18,,1.8,1.7,,,6.0,,,,6.0,6.0,,6,6.0,,,0.0,,,,0.0,0.0,,0,0.0,,
Meraj Sheykh,Meraj Sheykh,,,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,,14.0,14.0,,,14.0,14.0,14.0,14,14.0,14.0,,All Rounder,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,HYD,,,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,11.0,26.0,,,17.0,27.0,19.0,21,19.0,26.0,,3.0,27.0,,,21.0,1.5,11.0,48,18.0,20.0,,0.2142857142857142,1.9285714285714288,,,1.5,0.1071428571428571,0.7857142857142857,3.4285714285714284,1.2857142857142858,1.4285714285714286,,8.0,8.0,,,8.0,8.0,8.0,8,8.0,8.0,,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,
Kuldeep Singh,Kuldeep Singh,,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,,10.0,10.0,,10.0,10.0,10.0,10.0,10,10.0,10.0,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,12.0,48.0,,21.0,29.0,32.0,55.0,49,35.0,48.0,,3.0,7.0,,1.0,14.0,1.4,1.0,21,11.0,5.0,,0.3,0.7,,0.1,1.4,0.1399999999999999,0.1,2.1,1.1,0.5,,3.0,3.0,,3.0,3.0,3.0,3.0,3,3.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,
,Fazel Atrachali,,Fazel Atrachali,Fazel Atrachali,Fazel Atrachali,,Fazel Atrachali,Fazel Atrachali,,,,11.0,,11.0,11.0,11.0,,11,11.0,,,,Defender,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,MUM,,MUM,MUM,MUM,,MUM,MUM,,,,U Mumba,,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,,,,75.0,,8.0,9.0,9.0,,39,8.0,,,,1.0,,2.0,32.0,2.91,,33,32.0,,,,0.0909090909090909,,0.1818181818181818,2.909090909090909,0.2645454545454546,,3.0,2.909090909090909,,,,5.0,,5.0,5.0,5.0,,5,5.0,,,,9.0,,9.0,9.0,9.0,,9,9.0,,
,Rohit Baliyan,Rohit Baliyan,,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,Rohit Baliyan,,11.0,11.0,,11.0,11.0,11.0,11,11.0,11.0,11.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,14.0,18.0,,73.0,92.0,26.0,16,72.0,14.0,8.0,,54.0,2.0,,2.0,0.18,8.0,56,2.0,44.0,2.0,,4.909090909090909,0.1818181818181818,,0.1818181818181818,0.0163636363636363,0.7272727272727273,5.090909090909091,0.1818181818181818,4.0,0.1818181818181818,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
